Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,65.2,156,Unhealthy,86.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,174.1,224,Very Unhealthy,283.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,219.1,269,Very Unhealthy,264.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,220.0,270,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,145.5,197,Unhealthy,71.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,103.7,176,Unhealthy,62.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,79.3,163,Unhealthy,55.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,64.1,155,Unhealthy,49.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,72.6,160,Unhealthy,81.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,73.3,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,57.6,152,Unhealthy,42.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,51.8,141,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,52.4,143,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,46.1,127,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,36.0,102,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,31.5,92,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,26.7,82,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,26.3,81,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,25.1,78,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,27.5,83,Moderate,30.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,26.7,82,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,28.8,86,Moderate,31.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,29.4,87,Moderate,30.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,30.7,90,Moderate,32.0,UG/M3,1 Hr,Valid
